iter	RMSE
0	0.3749936493
1	0.3517585176
2	0.3301696164
3	0.3121089937
4	0.2938075199
5	0.2779757027
6	0.2637416985
7	0.2493762686
8	0.2373613478
9	0.2271544309
10	0.2176950897
11	0.2082338114
12	0.2002661306
13	0.1928637388
14	0.186373913
15	0.1803501493
16	0.1749446657
17	0.1698189754
18	0.1650369297
19	0.1617678022
20	0.1578508415
21	0.1544217161
22	0.1506329069
23	0.147826042
24	0.145171382
25	0.142554481
26	0.1406550168
27	0.1385194273
28	0.1362251332
29	0.1340882851
30	0.131721836
31	0.1298655161
32	0.1281446349
33	0.1264383416
34	0.1253738621
35	0.1238097523
36	0.1225389871
37	0.1212728488
38	0.120149829
39	0.1194287257
40	0.1185020918
41	0.1176202946
42	0.1168665103
43	0.1158740192
44	0.1146523699
45	0.1136934368
46	0.1129733425
47	0.1121439808
48	0.111495364
49	0.1106029251
50	0.1102016558
51	0.1094919988
52	0.1089903918
53	0.1084340526
54	0.1079835089
55	0.10730881
56	0.1066731341
57	0.1060469158
58	0.1054019943
59	0.1049232246
60	0.1044253719
61	0.1038827779
62	0.1036335398
63	0.1027964471
64	0.1023271717
65	0.1017239735
66	0.1014553903
67	0.100988221
68	0.1007312122
69	0.1002121544
70	0.0996954532
71	0.09942072276
72	0.09896109084
73	0.09858777435
74	0.09810456127
75	0.097816519
76	0.09727205078
77	0.09698706669
78	0.09670160709
79	0.09621246299
80	0.09600346849
81	0.09588043514
82	0.09561527193
83	0.09536294618
84	0.0951913826
85	0.09460026625
86	0.09423216895
87	0.09381239014
88	0.09366236938
89	0.09345391889
90	0.09306344567
91	0.09272105658
92	0.09257195837
93	0.09236580382
94	0.09196905698
95	0.09156666456
96	0.09124253029
97	0.0908254466
98	0.09040843512
99	0.09013852272
100	0.0900321215
101	0.08985132709
102	0.0893952401
103	0.08905580001
104	0.0887399958
105	0.08857577193
106	0.0883723563
107	0.08829101195
108	0.08794598919
109	0.08777952461
110	0.08728125119
111	0.08691265856
112	0.08652929537
113	0.08610298907
114	0.08593486452
115	0.08557065919
116	0.08534045089
117	0.08503781362
118	0.08467890346
119	0.08456158166
120	0.08436459904
121	0.08420911479
122	0.08408176738
123	0.08356399407
124	0.08322606405
125	0.08315072086
126	0.08284818555
127	0.08268325361
128	0.08243535143
129	0.08197875784
130	0.08187107695
131	0.08166075164
132	0.08154690008
133	0.08119857745
134	0.08111586909
135	0.08102853934
136	0.08087506357
137	0.08050895648
138	0.08029361582
139	0.08025590801
140	0.08014824959
141	0.07984737207
142	0.07944626809
143	0.07911941367
144	0.07894173342
145	0.07868795677
146	0.07836801474
147	0.07813720398
148	0.07784114177
149	0.07769422618
150	0.07739558698
151	0.07708675997
152	0.07681026599
153	0.07663349344
154	0.07653570114
155	0.07636595695
156	0.07623227309
157	0.07611207258
158	0.07591296255
159	0.0757321231
160	0.07556958951
161	0.07510060877
162	0.07506250624
163	0.07478096922
164	0.0745823053
165	0.07432005894
166	0.07412641557
167	0.07408612396
168	0.07382980597
169	0.07379238663
170	0.0735374514
171	0.07350132937
172	0.07341448267
173	0.07337228207
174	0.07321550687
175	0.07293971886
176	0.07273620233
177	0.07242853488
178	0.07212163849
179	0.07193347781
180	0.07169554263
181	0.071545092
182	0.07129085313
183	0.07102131942
184	0.07073159069
185	0.07053644449
186	0.07038738
187	0.07029144057
188	0.07002067155
189	0.0697968194
190	0.06960055342
191	0.06941364663
192	0.06920901616
193	0.0690458192
194	0.0688860869
195	0.06868560287
196	0.0684899917
197	0.06842677416
198	0.06824861823
199	0.0681493927
200	0.06789469612
201	0.06779755986
202	0.06769406985
203	0.06747489103
204	0.06728043243
205	0.06715880123
206	0.06708764466
207	0.06697029459
