model,mean_rmse,std_rmse
Ridge,0.12613365439944993,0.010198931341347976
Lasso,0.399284908349551,0.01681229545618809
RandomForest,0.1369509687972117,0.007004178351256078
SVR,0.18936506364965958,0.024298385521692313
XGBoost,0.13700110874124433,0.00565997579288749
LightGBM,0.12773622079924293,0.005484950194733994
CatBoost,0.11694530680688184,0.00827774219456033
